Date,Close/Last,Open,High,Low
05/31/2024,18536.65,18550.80,18574.56,18189.78
05/30/2024,18538.66,18683.25,18705.26,18487.76
05/29/2024,18736.75,18708.07,18814.82,18706.62
05/28/2024,18869.44,18855.15,18875.20,18755.94
05/24/2024,18808.35,18669.36,18851.99,18664.79
05/23/2024,18623.39,18907.14,18907.54,18554.89
05/22/2024,18705.20,18733.54,18756.69,18606.16
05/21/2024,18713.80,18603.99,18721.18,18589.91
05/20/2024,18674.19,18559.22,18703.83,18549.84
05/17/2024,18546.23,18571.82,18590.37,18462.25
05/16/2024,18557.96,18589.98,18669.50,18553.30
05/15/2024,18596.65,18412.81,18607.53,18359.32
05/14/2024,18322.77,18187.51,18339.58,18175.30
05/13/2024,18198.61,18228.40,18233.50,18147.57
05/10/2024,18161.18,18171.15,18247.61,18099.73
05/09/2024,18113.46,18095.80,18138.02,18012.62
05/08/2024,18085.01,17987.70,18135.34,17987.70
05/07/2024,18091.45,18106.33,18156.32,18061.61
05/06/2024,18093.57,17950.98,18094.46,17937.28
05/03/2024,17890.80,17848.66,17926.98,17784.78
05/02/2024,17541.54,17474.92,17575.80,17290.64
05/01/2024,17318.55,17382.78,17667.86,17284.37
